,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
394,Operational Research with Risk,PTMSCORRIS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCORRIS1F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",498
395,Optimization and Operational Research,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMATST6F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",514
396,Orthodontics,PTDCDORTHO1F,DClinDent,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTDCDORTHO1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£25,800', 'Rest of UK': '£25,800', 'International/EU': '£58,000', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",227
397,Orthopaedic and Trauma Medicine,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDRA9F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,Not applicable,218
398,Outdoor Education,PTMSCOUTED1U,"MSc, PgDip (ICL), PgCert (ICL), PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCOUTED1U,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,115
399,Outdoor Environmental and Sustainability Education,PTMSCODSTE1U,"MSc, PgDip (ICL), PgCert (ICL), PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCODSTE1U,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,382
400,Paediatric Dentistry,PTDCDPAEDE1F,DClinDent,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTDCDPAEDE1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£25,800', 'Rest of UK': '£25,800', 'International/EU': '£58,000', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",228
401,Paediatric Emergency Medicine (Online Learning),PTMSCPEMED1P,"MSc, PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPEMED1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': '£0'}",667
402,Palaeontology and Geobiology,PRMSCPALGE1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCPALGE1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",927
403,Particle and Nuclear Physics ,PTMSCPANUP1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPANUP1F,Physics & Astronomy,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",946
404,Particle Physics,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDPHYSI1F,Physics & Astronomy,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",193
405,Pathology,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDPATHO1F,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",506
406,Patient Safety and Clinical Human Factors (Online Learning),PTMSCPSCHF1P,"MSc, PgCert, PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPSCHF1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': '£0'}",962
407,Performance Psychology,PTMSCPERPS1U,"MSc, PgDip (ICL), PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPERPS1U,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,117
408,PET-MR Principles and Applications (Online Learning),PTPGCPETPA1U,"PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGCPETPA1U,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,Not applicable,965
409,Philosophy,PTMSCPHILY1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPHILY1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",286
410,Philosophy,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDPHILY1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",296
411,Philosophy,PRMSCPHILY1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCPHILY1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",606
412,"Philosophy, Science and Religion (Online Learning)",PTMSCPHISR2U,"MSc, PgDip (ICL), PgCert (ICL), PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPHISR2U,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences",Not applicable,941
413,Phonetics,PTMSCPHONE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPHONE1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1072
414,Physical Activity for Health,PTMSCPHACH1P,"MSc, PgDip (ICL), PgCert (ICL), PgCert, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPHACH1P,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,824
415,Planetary Health,No Program Code,"MSc, PgCert, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPLHOS1F,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1086
416,Planetary Health (Online Learning),No Program Code,"MSc, PgCert, PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPLHOL1F,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1087
417,Playwriting,PTMSCPWRIT1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPWRIT1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",775
418,Politics,PRPHDPOLTC1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDPOLTC1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",321
419,Population Health Sciences,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDRAAF,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",213
420,Precision Medicine,PRPHDISPME2F,PhD with Integrated Study,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDISPME2F,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",919
421,Primary Care Ophthalmology (Online Learning),No Program Code,MSc,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPCOPH1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£5,070', 'Additional Programme Costs': '£0'}",862
422,Probability and Stochastic Analysis,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMATST7F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",515
423,Professional Graduate Diploma in Education (Primary),No Program Code,PGDE,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=121,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,121
424,Professional Graduate Diploma in Education (Secondary),No Program Code,PGDE,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=123,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,123
425,Professional Legal Practice,No Program Code,Diploma,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=675,Law,"Arts, Humanities & Social Sciences",Not applicable,675
426,Prosthodontics,PTDCDPROST1F,DClinDent,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTDCDPROST1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£25,800', 'Rest of UK': '£25,800', 'International/EU': '£58,000', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",229
427,Psychiatry,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCLNEU4F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",507
428,Psychological Research ,PTMSCPSYRE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPSYRE1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1035
429,Psychological Therapies,PTMSCPSYTH1U,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPSYTH1U,Health in Social Science,"Arts, Humanities & Social Sciences",Not applicable,931
430,Psychology,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDPSYCH1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",297
431,Psychology,PRMSCPSYCH1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCPSYCH1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",439
432,Psychology of Individual Differences,PTMSCPYCHI1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPYCHI1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1055
433,Psychology of Language,PTMSCPSYLI2F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPSYLI2F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1056
434,Psychology of Mental Health (Conversion),PTMSCPSYMH1U,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPSYMH1U,Health in Social Science,"Arts, Humanities & Social Sciences",Not applicable,883
435,Psychotherapy and Counselling ,PTDPYPSYCO2F,DPsychotherapy,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTDPYPSYCO2F,Health in Social Science,"Arts, Humanities & Social Sciences",Not applicable,942
436,Public Health (part-time) (Online Learning),PTMPHEALTH2P,"MPH, PgCert, PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMPHEALTH2P,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': '£0'}",886
437,"Public Health, Master of",PTMPHEALTH1F,MPH,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMPHEALTH1F,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",203
438,Public Policy,PTMSCPUBPO1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCPUBPO1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",306
439,"Quantitative Biology, Biochemistry and Biotechnology",No Program Code,Under review,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=12,Biological Sciences,Science & Engineering,Not applicable,12
440,Quantitative Genetics and Genome Analysis,PTMSCQUGGA1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCQUGGA1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",6
441,RCVS Certificate in Advanced Veterinary Practice (Online Learning),PTPDVRCVET1U,PgProfDev,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPDVRCVET1U,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,888
442,Regenerative Medicine,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDREGME1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",695
443,Regenerative Medicine and Tissue Repair,No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCRGMTR1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£4,000'}",983
444,Religion and Literature,PTMTHRELLI1F,"MTh, MSc",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMTHRELLI1F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1005
445,Religious Studies,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDDIVIN5F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",66
446,Religious Studies,PTMSCRELST1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCRELST1F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",611
447,Reproductive Health,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDRACF,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",221
448,Reproductive Sciences,No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCREPSC1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£4,000'}",204
449,Respiratory Medicine,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDRADF,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",223
450,Restorative Dentistry (Online Learning),PTMSCRESDN1P,"MSc, PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCRESDN1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£8,600', 'Additional Programme Costs': '£0'}",789
451,Russian,PRMSCRUSSN1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCRUSSN1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",262
452,Russian,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDRUSSN1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1025
453,Scandinavian Studies,PRMSCSCST11F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCSCST11F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",264
454,Scandinavian Studies,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSCDST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1026
455,Science and Religion,PTMSCSCIRE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSCIRE1F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",653
456,Science and Religion,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDDIVINCF,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",925
457,Science and Technology in Society,PTMSCSCTSO1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSCTSO1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",796
458,Science and Technology Studies,PRPHDSCTST1F,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSCTST1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",322
459,Science Communication and Public Engagement,PTMSCSCCPE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSCCPE1F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",790
460,Science Communication and Public Engagement (Online Learning),PTMSCSCCPE1U,"MSc, PgCert, PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSCCPE1U,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': '£0'}",819
461,Scottish Ethnology,PRMSCSCETH1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCSCETH1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",265
462,Scottish History,PRPHDSCHIS1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSCHIS1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",159
463,Scottish History,PTMSCSCOHI1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSCOHI1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",615
464,Scottish History,PRMSCHISSC1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCHISSC1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",866
465,Sensor and Imaging Systems,No Program Code,MSc,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=882,Engineering,Science & Engineering,Not applicable,882
466,Service Management and Design,PTMSCSMDES1U,"MSc, PgDip (ICL), PgCert",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSMDES1U,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1067
467,Service Management and Design (Online Learning),PTMSCSMDES2U,"MSc, PgDip (ICL), PgCert",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSMDES2U,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1068
468,Signal Processing and Communications,PTMSCSIPRC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCSIPRC1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",20
469,Simulation Based Clinical Education,No Program Code,"PgCert, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGCSBCED1P,Edinburgh Medical School: Medicine,Medicine & Veterinary Medicine,Not applicable,1075
470,Social and Political Science,PRMSCSOPOS1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCSOPOS1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",970
471,Social and Political Science,PRPHDSOPSC1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDSOPSC1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",984
