,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
185,"Environment, Culture and Society",PTMSCENVCS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCENVCS1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£16,100', 'Rest of UK': '£16,100', 'International/EU': '£32,000', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",395
186,Environmental Protection and Management,PTMSCENVPM1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCENVPM1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£18,000', 'Rest of UK': '£18,000', 'International/EU': '£34,600', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",31
187,Environmental Sustainability,PTMSCENVSS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCENVSS1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£16,100', 'Rest of UK': '£16,100', 'International/EU': '£32,000', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",32
188,"EPCC: High Performance Computing, Computational & Data Science, Software Engineering ",No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDINFMTDP,Informatics,Science & Engineering,Not applicable,855
189,Epidemiology (Online Learning),PTMSCEPDEM1P,"MSc, PgCert, PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCEPDEM1P,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': '£0'}",1042
190,"Epistemology, Ethics and Mind (Online Learning)",PTMSCEPIMD2U,"MSc, PgDip (ICL), PgCert (ICL), PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCEPIMD2U,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences",Not applicable,844
191,EPSRC Centre for Doctoral Training in Robotics and Autonomous Systems,No Program Code,PhD,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=863,Informatics,Science & Engineering,Not applicable,863
192,Equine Science (Online Learning),PTMSCEQUIS3P,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCEQUIS3P,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,239
193,Ethics and Practical Theology,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDDIVINBF,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",62
194,European Archaeology,PTMSCEUARC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCEUARC1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",39
195,European Law,PTLLMEULAW1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMEULAW1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",163
196,European Masters in Landscape Architecture,PTMSCLDAEM1F,European Masters,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCLDAEM1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",907
197,European Theatre,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDEUTHT1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",632
198,Evolution of Language and Cognition,PTMSCEVOLC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCEVOLC1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",283
199,Evolutionary Biology,No Program Code,Under review,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=8,Biological Sciences,Science & Engineering,Not applicable,8
200,Evolutionary Genetics,PTMSCEVOGE1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCEVOGE1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",764
201,Executive Master of Business Administration,PTMBAEXMBA3P,MBA,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMBAEXMBA3P,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£18,600', 'Rest of UK': '£18,600', 'International/EU': '£18,600', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",810
202,Family Medicine (Online Learning),PTMFMFAMME1U,MFM,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMFMFAMME1U,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,Not applicable,870
203,Film Directing,PTMARTFIDI1F,MA (eca),Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMARTFIDI1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",733
204,Film Studies,PTMSCFLMST1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFLMST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",179
205,Film Studies,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDFLMST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",255
206,"Film, Exhibition and Curation",PTMSCFILEC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFILEC1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£14,100', 'Rest of UK': '£14,100', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",658
207,Finance,PTMSCFINAN1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFINAN1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£28,200', 'Rest of UK': '£28,200', 'International/EU': '£37,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",928
208,Finance,PRPHDFINAN1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDFINAN1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1029
209,"Finance, Technology and Policy",PTMSCFITEP1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFITEP1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£28,200', 'Rest of UK': '£28,200', 'International/EU': '£37,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",966
210,Financial Modelling and Optimization,PTMSCFINMO1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFINMO1F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£30,800', 'Rest of UK': '£30,800', 'International/EU': '£35,900', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",640
211,Financial Technology,PRPHDFINTC3F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDFINTC3F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",998
212,Fire Engineering Science,No Program Code,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFIREE1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1082
213,Food Safety (Online Learning),PTMSCFOSAF1U,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFOSAF1U,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,955
214,Food Security,PTMSCFOODS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFOODS1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£18,000', 'Rest of UK': '£18,000', 'International/EU': '£34,600', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",668
215,French,No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCFRNST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",256
216,French,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDFRENC1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1017
217,Functional Genetics and Development,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDFUGED1F,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",829
218,Future Governance,PTMSCFUGOV2U,"MSc, PgDip (ICL), PgCert",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFUGOV2U,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1063
219,Future Governance (Online Learning),PTMSCFUGOV1U,"MSc, PgDip (ICL), PgCert",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCFUGOV1U,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1064
220,Gender and Culture,No Program Code,Programme closed,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=851,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences",Not applicable,851
221,General Surgery (Online Learning),PTCHMGENSU1P,ChM (General Surgery),Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTCHMGENSU1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£7,600', 'Additional Programme Costs': '£0'}",697
222,Genetics and Genomics,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDGENGE1F,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",830
223,Genetics and Molecular Medicine (MRC Human Genetics Unit) ,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDGENMM1F,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",838
